Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Maidana, Iago",6,BRA,Sport Recife,2020,1,Sport Recife,Ceará,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maidana, Iago",6,BRA,Sport Recife,2020,2,Vasco da Gama,Sport Recife,90,0,0,0,0,1,0,0,0,2,1,0,0,0,3,0,0,0
"Maidana, Iago",6,BRA,Sport Recife,2020,3,Atlético Goianiense,Sport Recife,90,1,0,0,0,3,1,0,0,1,0,0,1,0,2,0,0,0
"Maidana, Iago",6,BRA,Sport Recife,2020,4,Sport Recife,Santos,90,0,0,0,0,1,0,1,0,2,3,0,1,0,0,0,0,0
"Maidana, Iago",6,BRA,Sport Recife,2020,5,Sport Recife,São Paulo,83,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Maidana, Iago",6,BRA,Sport Recife,2020,6,Coritiba,Sport Recife,90,0,0,0,0,0,0,1,0,2,1,0,0,3,1,0,0,0
"Maidana, Iago",6,BRA,Sport Recife,2020,7,Grêmio,Sport Recife,90,1,0,1,1,1,1,0,0,0,0,0,0,1,2,0,0,0
"Maidana, Iago",6,BRA,Sport Recife,2020,8,Sport Recife,Goiás,90,0,0,0,0,3,1,0,0,2,1,0,0,1,0,0,0,0
"Maidana, Iago",6,BRA,Sport Recife,2020,9,Fortaleza,Sport Recife,90,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Maidana, Iago",6,BRA,Sport Recife,2020,10,Palmeiras,Sport Recife,90,1,0,1,1,2,1,0,0,1,1,0,0,0,2,0,0,0
"Maidana, Iago",6,BRA,Sport Recife,2020,11,Sport Recife,Fluminense,90,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0
"Maidana, Iago",6,BRA,Sport Recife,2020,12,Sport Recife,Corinthians,90,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Maidana, Iago",6,BRA,Sport Recife,2020,13,Bahia,Sport Recife,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Maidana, Iago",6,BRA,Sport Recife,2020,14,Flamengo,Sport Recife,90,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0
"Maidana, Iago",6,BRA,Sport Recife,2020,16,Sport Recife,Internacional,90,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0
"Maidana, Iago",6,BRA,Sport Recife,2020,17,Bragantino,Sport Recife,90,0,0,0,0,0,0,1,0,1,2,0,1,1,5,0,0,0
